viagem_id,hotel,cidade,diarias,valor_diaria,valor_hospedagem_realizado,fora_politica_hotel
T000039,Hotel Local,São Paulo,1,313.84,313.84,False
T000040,Accor,Brasília,1,451.28,451.28,True
T000041,Hotel Local,São Paulo,7,319.05,2233.35,False
T000042,Hotel Local,São Paulo,3,351.59,1054.78,False
T000044,Rede Nacional,Belo Horizonte,2,267.04,534.07,False
T000045,Rede Nacional,Rio de Janeiro,2,410.38,820.76,False
T000046,Rede Nacional,Porto Alegre,1,240.41,240.41,False
T000047,Hotel Local,Belo Horizonte,1,193.76,193.76,False
T000048,Intercity,Campinas,1,281.77,281.77,False
T000049,Hotel Local,Fortaleza,4,255.47,1021.89,False
T000050,Intercity,São Paulo,3,381.54,1144.61,False
T000051,Hotel Local,São Paulo,4,412.84,1651.35,False
T000052,Hotel Local,Curitiba,5,278.32,1391.62,False
T000053,Accor,Brasília,2,327.4,654.8,False
T000054,Rede Nacional,Vitória da Conquista,1,186.7,186.7,False
T000055,Transamerica,Porto Alegre,2,378.3,756.6,True
T000056,Transamerica,Manaus,3,349.66,1048.97,False
T000058,Hotel Local,Campinas,3,373.11,1119.34,False
T000059,Accor,FEIRA DE SANTANA,2,223.5,447.01,False
T000061,Rede Nacional,Campinas,1,380.66,380.66,False
T000062,Rede Nacional,Recife,3,259.03,777.1,False
T000063,Hotel Local,Recife,2,255.75,511.49,False
T000064,Accor,Campinas,3,470.06,1410.19,True
T000065,Intercity,Curitiba,1,269.75,269.75,False
T000066,Rede Nacional,Feira de Santana,4,191.99,767.97,False
T000067,Accor,São Paulo,2,503.17,1006.35,True
T000068,Accor,Vitória da Conquista,6,316.66,1899.96,True
T000069,Hotel Local,Rio de Janeiro,1,525.41,525.41,True
T000070,Rede Nacional,Brasília,3,390.34,1171.01,False
T000071,Hotel Local,Fortaleza,1,298.75,298.75,False
T000072,Transamerica,São Paulo,4,589.15,2356.59,True
T000073,Hotel Local,São Paulo,2,331.43,662.86,False
T000074,Rede Nacional,São Paulo,4,372.93,1491.71,False
T000075,Rede Nacional,Brasília,3,339.86,1019.58,False
T000076,Accor,Rio de Janeiro,1,317.82,317.82,False
T000077,Intercity,Vitória da Conquista,4,248.12,992.48,False
T000079,Intercity,Campinas,6,370.84,2225.06,False
T000080,Accor,Curitiba,1,327.61,327.61,False
T000082,Hotel Local,Vitória da Conquista,1,245.65,245.65,False
T000083,Rede Nacional,Porto Alegre,1,315.46,315.46,False
T000084,Accor,Recife,2,381.9,763.79,True
T000085,Intercity,Fortaleza,1,350.95,350.95,False
T000087,Rede Nacional,São Paulo,2,372.46,744.92,False
T000088,Hotel Local,São Paulo,3,288.92,866.75,False
T000090,Hotel Local,Belo Horizonte,1,259.35,259.35,False
T000091,Rede Nacional,São Paulo,2,330.93,661.85,False
T000092,Accor,Rio de Janeiro,1,318.45,318.45,False
T000093,Intercity,Curitiba,2,322.98,645.97,False
T000094,Rede Nacional,Ilhéus,1,300.71,300.71,False
T000096,Rede Nacional,Feira de Santana,3,230.98,692.95,False
T000097,Transamerica,Recife,2,384.23,768.47,True
T000098,Hotel Local,Sao Paulo,3,252.82,758.45,False
T000101,Intercity,Ilhéus,1,272.51,272.51,False
T000102,Intercity,Belo Horizonte,2,279.19,558.38,False
T000103,Hotel Local,São Paulo,1,493.36,493.36,True
T000105,Transamerica,São Paulo,2,425.54,851.08,False
T000106,Accor,Brasília,1,479.72,479.72,True
T000109,Transamerica,São Paulo,2,450.83,901.67,False
T000111,Accor,São Paulo,4,590.46,2361.82,True
T000112,Intercity,São Paulo,3,413.55,1240.65,False
T000116,Accor,São Paulo,3,333.56,1000.68,False
T000117,Hotel Local,Porto Alegre,1,332.25,332.25,False
T000118,Accor,São Paulo,4,406.45,1625.81,False
T000119,Accor,Brasília,2,436.32,872.63,True
T000120,Hotel Local,Recife,3,216.15,648.45,False
T000121,Rede Nacional,Rio de Janeiro,1,269.08,269.08,False
T000122,Accor,Porto Alegre,2,314.97,629.94,False
T000123,Hotel Local,Feira de Santana,1,199.81,199.81,False
T000124,Intercity,Belo Horizonte,2,308.55,617.1,False
T000126,Accor,São Paulo,1,507.54,507.54,True
T000127,Hotel Local,Campinas,6,239.47,1436.82,False
T000128,Accor,São Paulo,4,375.57,1502.28,False
T000130,Rede Nacional,Manaus,2,306.08,612.16,False
T000131,Rede Nacional,Rio de Janeiro,2,418.1,836.19,True
T000134,Intercity,Feira de Santana,2,241.54,483.08,False
T000135,Hotel Local,Belo Horizonte,3,255.61,766.83,False
T000136,Rede Nacional,São Paulo,8,285.36,2282.86,False
T000137,Accor,Feira de Santana,2,198.98,397.97,False
T000138,Hotel Local,São Paulo,2,408.87,817.73,False
T000139,Rede Nacional,Feira de Santana,3,217.39,652.17,False
T000140,Transamerica,Rio de Janeiro,2,481.3,962.6,False
T000141,Accor,Porto Alegre,4,298.87,1195.49,False
T000142,Intercity,Recife,4,280.97,1123.87,False
T000143,Intercity,Feira de Santana,2,176.07,352.13,False
T000144,Accor,Aracaju,1,316.69,316.69,True
T000145,Accor,São Paulo,3,565.59,1696.78,True
T000146,Hotel Local,Belo Horizonte,2,265.41,530.82,False
T000147,Accor,São Paulo,1,471.23,471.23,False
T000148,Accor,Belo Horizonte,1,276.45,276.45,False
T000149,Intercity,Fortaleza,3,327.32,981.96,False
T000150,Hotel Local,Vitória da Conquista,4,225.11,900.44,False
T000151,Intercity,São Paulo,5,531.51,2657.55,True
T000152,Accor,São Paulo,2,465.71,931.41,True
T000154,Rede Nacional,Aracaju,4,204.06,816.26,False
T000155,Hotel Local,Rio de Janeiro,2,312.86,625.73,False
T000157,Hotel Local,Belo Horizonte,6,267.14,1602.86,False
T000158,Accor,São Paulo,3,540.03,1620.09,True
T000159,Hotel Local,São Paulo,5,434.35,2171.75,False
T000161,Accor,Manaus,4,422.16,1688.65,False
T000162,Rede Nacional,São Paulo,2,362.97,725.94,False
T000163,Intercity,Manaus,2,332.8,665.61,False
T000164,Rede Nacional,Rio de Janeiro,1,332.08,332.08,False
T000165,Accor,São Paulo,5,552.59,2762.97,True
T000166,Rede Nacional,Fortaleza,1,289.01,289.01,False
T000167,Hotel Local,Fortaleza,2,248.51,497.01,False
T000168,Transamerica,Belo Horizonte,3,284.57,853.72,False
T000170,Hotel Local,Rio de Janeiro,3,291.61,874.83,False
T000171,Hotel Local,Rio de Janeiro,1,360.03,360.03,False
T000172,Transamerica,Fortaleza,1,323.24,323.24,False
T000173,Hotel Local,Rio de Janeiro,1,306.82,306.82,False
T000176,Intercity,Belo Horizonte,5,296.9,1484.48,False
T000177,Accor,Recife,3,264.89,794.66,False
T000178,Transamerica,Belo Horizonte,5,303.51,1517.55,False
T000179,Hotel Local,Recife,4,327.26,1309.05,False
T000180,Intercity,Feira de Santana,2,236.19,472.39,False
T000181,Intercity,Brasília,2,326.65,653.3,False
T000183,Intercity,Rio de Janeiro,1,352.1,352.1,False
T000184,Rede Nacional,Brasília,4,249.36,997.45,False
T000185,Hotel Local,Campinas,3,346.85,1040.54,False
T000186,Transamerica,Belo Horizonte,1,440.18,440.18,False
T000187,Rede Nacional,Belo Horizonte,7,346.25,2423.76,False
T000188,Accor,Recife,2,316.77,633.54,False
T000189,Hotel Local,Recife,2,185.54,371.07,False
T000191,Hotel Local,Fortaleza,2,285.27,570.54,False
T000192,Rede Nacional,Recife,1,227.35,227.35,False
T000195,Accor,Aracaju,5,321.59,1607.94,True
T000197,Accor,São Paulo,4,458.58,1834.3,False
T000198,Hotel Local,São Paulo,4,326.23,1304.93,False
T000199,Rede Nacional,Brasília,3,369.63,1108.88,False
T000200,Rede Nacional,Campinas,2,291.17,582.33,False
T000202,Transamerica,Aracaju,3,257.94,773.83,False
T000203,Accor,Rio de Janeiro,3,392.73,1178.2,False
T000204,Hotel Local,São Paulo,1,291.33,291.33,False
T000205,Accor,Porto Alegre,2,319.7,639.39,False
T000206,Accor,Brasília,2,329.52,659.04,False
T000207,Accor,São Paulo,3,361.06,1083.19,False
T000208,Hotel Local,Rio de Janeiro,2,293.08,586.16,False
T000210,Hotel Local,Fortaleza,1,253.09,253.09,False
T000211,Intercity,São Paulo,2,368.4,736.8,False
T000212,Accor,Fortaleza,3,331.99,995.97,False
T000213,Rede Nacional,Rio de Janeiro,3,341.74,1025.21,False
T000214,Hotel Local,Vitória da Conquista,2,171.05,342.1,False
T000215,Hotel Local,Manaus,4,266.93,1067.73,False
T000216,Rede Nacional,São Paulo,3,307.47,922.4,False
T000217,Rede Nacional,Fortaleza,1,336.37,336.37,False
T000219,Hotel Local,Recife,1,256.54,256.54,False
T000220,Hotel Local,Recife,4,289.36,1157.45,False
T000221,Rede Nacional,São Paulo,1,387.8,387.8,False
T000222,Rede Nacional,Curitiba,2,312.69,625.38,False
T000224,Accor,São Paulo,6,469.6,2817.58,False
T000225,Rede Nacional,Brasília,2,254.69,509.38,False
T000226,Rede Nacional,Recife,2,352.85,705.69,False
T000228,Accor,Manaus,4,414.08,1656.33,True
T000231,Intercity,Recife,4,307.88,1231.51,False
T000232,Hotel Local,Ilhéus,2,262.69,525.39,False
T000233,Accor,Fortaleza,3,292.15,876.45,False
T000234,Transamerica,Belo Horizonte,2,299.18,598.36,False
T000236,Rede Nacional,São Paulo,3,346.53,1039.6,False
T000237,Hotel Local,Recife,2,222.37,444.74,False
T000238,Rede Nacional,Aracaju,2,253.43,506.85,False
T000239,Hotel Local,São Paulo,3,302.27,906.82,False
T000240,Intercity,Curitiba,1,280.34,280.34,False
T000241,Rede Nacional,Recife,2,246.43,492.86,False
T000244,Hotel Local,São Paulo,2,387.97,775.94,False
T000245,Hotel Local,Rio de Janeiro,1,285.5,285.5,False
T000246,Accor,Porto Alegre,8,304.07,2432.59,False
T000247,Hotel Local,Brasília,3,343.52,1030.56,False
T000248,Intercity,São Paulo,1,436.51,436.51,False
T000249,Intercity,Brasília,2,337.96,675.92,False
T000250,Accor,Recife,3,330.61,991.84,False
T000251,Transamerica,Fortaleza,1,398.91,398.91,True
T000252,Rede Nacional,Campinas,3,331.91,995.74,False
T000256,Accor,São Paulo,3,355.95,1067.86,False
T000257,Rede Nacional,Brasília,2,330.62,661.24,False
T000258,Intercity,Rio de Janeiro,1,350.87,350.87,False
T000259,Intercity,São Paulo,1,434.57,434.57,True
T000261,Hotel Local,São Paulo,2,265.74,531.48,False
T000262,Accor,Fortaleza,2,352.5,705.01,False
T000263,Hotel Local,Recife,1,306.72,306.72,False
T000265,Hotel Local,São Paulo,2,477.23,954.47,False
T000266,Hotel Local,Brasília,7,308.0,2156.03,False
T000267,Hotel Local,Brasília,1,369.65,369.65,False
T000269,Accor,Fortaleza,6,368.57,2211.42,False
T000271,Hotel Local,Fortaleza,1,265.13,265.13,False
T000273,Hotel Local,São Paulo,1,311.67,311.67,False
T000275,Intercity,São Paulo,2,598.35,1196.7,True
T000276,Intercity,Fortaleza,2,325.26,650.51,False
T000277,Hotel Local,São Paulo,4,388.53,1554.11,False
T000280,Intercity,São Paulo,6,355.85,2135.09,False
T000281,Accor,São Paulo,2,379.02,758.03,False
T000282,Hotel Local,Curitiba,3,311.74,935.22,False
T000283,Hotel Local,São Paulo,5,356.54,1782.69,False
T000284,Intercity,Rio de Janeiro,3,416.39,1249.16,False
T000285,Rede Nacional,Campinas,1,349.51,349.51,False
T000286,Accor,Feira Santana,1,227.49,227.49,False
T000288,Accor,Vitória da Conquista,2,214.77,429.55,False
T000289,Hotel Local,São Paulo,2,336.62,673.23,False
T000290,Rede Nacional,São Paulo,2,576.6,1153.2,False
T000291,Rede Nacional,Vitória da Conquista,5,204.59,1022.95,False
T000292,Transamerica,São Paulo,3,491.17,1473.52,True
T000293,Accor,Aracaju,2,210.84,421.68,False
T000294,Accor,Recife,3,372.05,1116.15,False
T000295,Rede Nacional,Vitória da Conquista,4,195.16,780.63,False
T000296,Hotel Local,São Paulo,2,299.39,598.79,False
T000301,Hotel Local,São Paulo,7,417.31,2921.16,False
T000302,Accor,São Paulo,2,540.39,1080.78,True
T000304,Hotel Local,Curitiba,7,264.18,1849.25,False
T000305,Accor,Belo Horizonte,3,303.53,910.6,False
T000307,Accor,Campinas,2,272.05,544.09,False
T000308,Hotel Local,Belo Horizonte,2,260.69,521.39,False
T000309,Accor,Rio de Janeiro,2,440.82,881.65,True
T000311,Accor,Ilhéus,6,312.62,1875.71,False
T000312,Accor,SP - São Paulo,4,381.32,1525.28,False
T000313,Accor,Recife,3,359.57,1078.72,False
T000314,Accor,Manaus,3,385.25,1155.74,False
T000315,Hotel Local,São Paulo,2,377.06,754.12,False
T000316,Intercity,Recife,3,340.15,1020.44,False
T000317,Hotel Local,Rio de Janeiro,1,458.22,458.22,True
T000318,Accor,Fortaleza,2,353.47,706.94,False
T000319,Accor,Ilhéus,3,232.37,697.11,False
T000320,Accor,Porto Alegre,4,297.26,1189.02,False
T000321,Hotel Local,Feira de Santana,1,188.06,188.06,False
T000322,Rede Nacional,Fortaleza,2,212.21,424.42,False
T000324,Hotel Local,Aracaju,3,207.93,623.79,False
T000325,Intercity,Feira de Santana,2,178.95,357.9,False
T000326,Hotel Local,Fortaleza,3,220.22,660.65,False
T000327,Hotel Local,São Paulo,5,358.62,1793.1,False
T000328,Hotel Local,Brasília,3,366.34,1099.01,False
T000329,Accor,Feira de Santana,3,293.6,880.81,False
T000330,Accor,Rio de Janeiro,7,466.06,3262.4,True
T000331,Rede Nacional,São Paulo,3,409.41,1228.24,False
T000332,Rede Nacional,Rio de Janeiro,1,324.92,324.92,False
T000334,Intercity,Rio de Janeiro,1,329.91,329.91,False
T000335,Accor,São Paulo,6,433.76,2602.54,False
T000336,Hotel Local,São Paulo,3,367.5,1102.5,False
T000337,Intercity,Ilhéus,3,294.59,883.76,False
T000340,Rede Nacional,Rio de Janeiro,2,364.84,729.69,False
T000341,Accor,Recife,1,299.72,299.72,False
T000342,Intercity,Manaus,2,358.25,716.5,False
T000343,Transamerica,São Paulo,2,474.64,949.28,True
T000345,Rede Nacional,São Paulo,4,393.44,1573.77,False
T000346,Hotel Local,São Paulo,2,300.99,601.97,False
T000347,Rede Nacional,Ilhéus,1,228.88,228.88,False
T000348,Intercity,Curitiba,3,345.69,1037.07,False
T000349,Hotel Local,Brasília,2,366.77,733.55,False
T000350,Accor,Feira de Santana,4,188.17,752.69,False
T000351,Rede Nacional,Rio de Janeiro,2,402.77,805.54,False
T000352,Hotel Local,Rio de Janeiro,2,308.43,616.86,False
T000353,Accor,Feira de Santana,2,215.29,430.58,False
T000354,Hotel Local,Feira de Santana,2,212.22,424.43,False
T000355,Accor,Fortaleza,3,357.63,1072.88,False
T000357,Rede Nacional,Vitória da Conquista,2,241.21,482.42,False
T000358,Rede Nacional,Manaus,2,337.27,674.54,False
T000359,Accor,Belo Horizonte,3,280.36,841.07,False
T000360,Hotel Local,São Paulo,2,440.93,881.86,False
T000361,Transamerica,Fortaleza,5,365.42,1827.1,False
T000362,Hotel Local,Rio de Janeiro,1,295.49,295.49,False
T000363,Rede Nacional,Porto Alegre,2,276.76,553.51,False
T000364,Rede Nacional,São Paulo,2,409.95,819.89,False
T000365,Accor,Ilhéus,1,298.85,298.85,False
T000366,Accor,Feira de Santana,1,292.87,292.87,True
T000367,Rede Nacional,Curitiba,3,236.04,708.11,False
T000368,Accor,Manaus,1,347.79,347.79,False
T000369,Intercity,São Paulo,1,466.41,466.41,True
T000370,Intercity,Curitiba,5,302.67,1513.36,False
T000371,Hotel Local,São Paulo,3,402.38,1207.13,False
T000372,Rede Nacional,Rio de Janeiro,1,299.64,299.64,False
T000373,Hotel Local,Recife,1,319.15,319.15,False
T000374,Intercity,Vitória da Conquista,1,200.66,200.66,False
T000375,Hotel Local,São Paulo,4,340.44,1361.75,False
T000377,Hotel Local,Belo Horizonte,3,267.84,803.52,False
T000379,Rede Nacional,Brasília,3,413.43,1240.29,True
T000380,Intercity,Manaus,3,330.87,992.6,False
T000381,Intercity,Belo Horizonte,2,373.97,747.94,True
T000382,Transamerica,Recife,2,340.26,680.52,False
T000384,Intercity,São Paulo,3,495.08,1485.23,True
T000386,Accor,Recife,3,374.98,1124.93,True
T000389,Rede Nacional,Aracaju,1,270.18,270.18,False
T000390,Hotel Local,Rio de Janeiro,1,286.44,286.44,False
T000391,Transamerica,São Paulo,1,671.56,671.56,True
T000392,Hotel Local,Rio de Janeiro,1,323.08,323.08,False
T000393,Intercity,Recife,3,262.31,786.94,False
T000394,Intercity,Brasília,2,295.63,591.27,False
T000395,Hotel Local,Curitiba,4,251.56,1006.23,False
T000396,Rede Nacional,Brasília,2,325.86,651.73,False
T000397,Hotel Local,Aracaju,2,235.76,471.53,False
T000398,Hotel Local,Recife,2,309.94,619.88,False
T000399,Hotel Local,São Paulo,1,338.0,338.0,False
T000400,Rede Nacional,São Paulo,3,417.35,1252.06,False
T000403,Intercity,Brasília,2,310.44,620.88,False
T000404,Accor,São Paulo,3,416.54,1249.61,False
T000405,Accor,Aracaju,3,257.09,771.27,False
T000406,Accor,Curitiba,1,408.27,408.27,True
T000407,Transamerica,Rio de Janeiro,2,390.59,781.18,False
T000408,Rede Nacional,são paulo,3,364.88,1094.65,False
T000409,Accor,Brasília,2,388.73,777.47,False
T000410,Hotel Local,Porto Alegre,2,286.62,573.24,False
T000411,Hotel Local,Brasília,2,272.99,545.98,False
T000412,Intercity,Brasília,3,393.68,1181.05,False
T000413,Accor,Rio de Janeiro,3,266.74,800.23,False
T000414,Rede Nacional,Belo Horizonte,1,271.68,271.68,False
T000415,Hotel Local,Campinas,1,224.1,224.1,False
T000416,Accor,São Paulo,2,513.92,1027.85,False
T000417,Hotel Local,Vitória da Conquista,1,215.86,215.86,False
T000419,Accor,Manaus,1,321.89,321.89,False
T000420,Transamerica,São Paulo,4,393.22,1572.88,False
T000421,Transamerica,São Paulo,1,440.64,440.64,False
T000422,Rede Nacional,Fortaleza,1,260.36,260.36,False
T000423,Hotel Local,Belo Horizonte,3,398.4,1195.19,False
T000424,Hotel Local,São Paulo,2,397.13,794.25,False
T000425,Transamerica,Curitiba,2,348.5,697.0,True
T000426,Accor,Brasília,2,379.7,759.4,False
T000427,Accor,Vitória da Conquista,4,293.52,1174.07,True
T000428,Hotel Local,Feira de Santana,1,181.05,181.05,False
T000429,Intercity,Feira de Santana,3,180.4,541.21,False
T000430,Hotel Local,Recife,1,300.32,300.32,False
T000431,Accor,Recife,4,229.25,917.0,False
T000432,Intercity,Vitória da Conquista,4,226.99,907.96,False
T000433,Hotel Local,Ilhéus,2,360.12,720.24,False
T000435,Rede Nacional,São Paulo,1,336.79,336.79,False
T000436,Rede Nacional,São Paulo,2,374.44,748.88,False
T000437,Accor,São Paulo,1,428.4,428.4,False
T000438,Intercity,São Paulo,1,376.7,376.7,False
T000440,Intercity,Fortaleza,2,207.31,414.62,False
T000441,Transamerica,Belo Horizonte,2,286.77,573.53,False
T000442,Hotel Local,Porto Alegre,9,275.75,2481.75,False
T000443,Intercity,Rio de Janeiro,3,586.77,1760.32,True
T000445,Accor,Porto Alegre,1,323.79,323.79,False
T000446,Accor,São Paulo,3,430.1,1290.3,False
T000447,Transamerica,Porto Alegre,2,386.56,773.12,False
T000448,Rede Nacional,Manaus,3,467.76,1403.28,False
T000449,Hotel Local,Brasília,1,351.21,351.21,False
T000451,Transamerica,Campinas,6,363.09,2178.52,False
T000452,Hotel Local,Rio de Janeiro,2,412.56,825.12,False
T000453,Rede Nacional,Brasília,3,424.38,1273.15,False
T000454,Hotel Local,Recife,3,258.36,775.07,False
T000455,Hotel Local,São Paulo,3,354.83,1064.5,False
T000456,Rede Nacional,Curitiba,2,234.33,468.67,False
T000457,Accor,Brasília,5,476.39,2381.93,True
T000458,Transamerica,Belo Horizonte,2,250.86,501.73,False
T000459,Rede Nacional,Vitória da Conquista,1,203.06,203.06,False
T000460,Transamerica,Rio de Janeiro,3,465.43,1396.29,True
T000461,Accor,Recife,1,316.85,316.85,False
T000462,Hotel Local,Recife,2,202.88,405.75,False
T000463,Hotel Local,São Paulo,3,406.36,1219.09,False
T000464,Accor,Feira de Santana,6,243.68,1462.07,False
T000465,Intercity,Curitiba,1,308.87,308.87,False
T000466,Transamerica,Fortaleza,2,277.01,554.02,False
T000468,Accor,Feira de Santana,2,303.7,607.39,False
T000469,Intercity,São Paulo,1,330.54,330.54,False
T000471,Rede Nacional,Manaus,2,342.13,684.27,False
T000472,Accor,Manaus,4,422.44,1689.77,True
T000473,Transamerica,Fortaleza,1,434.29,434.29,False
T000474,Rede Nacional,Belo Horizonte,4,326.19,1304.75,False
T000475,Hotel Local,São Paulo,2,513.58,1027.15,True
T000476,Hotel Local,Campinas,1,345.3,345.3,False
T000477,Transamerica,Campinas,3,414.66,1243.97,True
T000478,Transamerica,Vitória da Conquista,3,277.05,831.14,False
T000479,Accor,Ilhéus,3,372.71,1118.14,False
T000480,Rede Nacional,Belo Horizonte,2,279.64,559.29,False
T000481,Intercity,Belo Horizonte,3,368.02,1104.07,False
T000482,Intercity,Belo Horizonte,2,245.27,490.54,False
T000483,Transamerica,Brasília,1,330.73,330.73,False
T000484,Accor,Feira de Santana,2,233.28,466.56,False
T000485,Rede Nacional,Brasília,6,285.33,1711.97,False
T000486,Rede Nacional,Rio de Janeiro,2,285.86,571.73,False
T000488,Intercity,Recife,1,320.74,320.74,False
T000489,Transamerica,Vitoria da Conquista,3,259.69,779.08,False
T000490,Rede Nacional,Feira de Santana,2,181.02,362.05,False
T000491,Accor,Recife,5,349.16,1745.78,False
T000492,Hotel Local,Ilhéus,2,185.15,370.29,False
T000493,Transamerica,Belo Horizonte,1,388.56,388.56,False
T000494,Hotel Local,Fortaleza,3,258.53,775.58,False
T000496,Rede Nacional,Fortaleza,2,248.74,497.49,False
T000497,Accor,Porto Alegre,2,284.43,568.87,False
T000498,Hotel Local,Vitoria da Conquista,1,186.55,186.55,False
T000500,Hotel Local,Fortaleza,2,240.64,481.28,False
T000501,Accor,Recife,2,315.83,631.66,False
T000503,Intercity,Feira de Santana,6,236.07,1416.44,False
T000504,Accor,Feira de Santana,4,277.2,1108.8,True
T000506,Transamerica,Recife,1,273.24,273.24,False
T000507,Hotel Local,São Paulo,3,330.6,991.79,False
T000508,Rede Nacional,Campinas,2,249.63,499.27,False
T000511,Transamerica,São Paulo,3,367.46,1102.37,False
T000512,Hotel Local,Vitória da Conquista,1,204.25,204.25,False
T000513,Rede Nacional,São Paulo,5,407.0,2035.01,False
T000514,Rede Nacional,Fortaleza,6,366.28,2197.69,False
T000515,Intercity,Curitiba,4,297.22,1188.9,False
T000516,Accor,São Paulo,1,414.71,414.71,False
T000517,Rede Nacional,São Paulo,1,551.17,551.17,False
T000518,Transamerica,Belo Horizonte,3,268.9,806.7,False
T000519,Rede Nacional,Fortaleza,1,310.33,310.33,False
T000520,Hotel Local,Campinas,1,278.96,278.96,False
T000522,Rede Nacional,Manaus,3,327.62,982.86,False
T000524,Rede Nacional,São Paulo,1,343.46,343.46,False
T000525,Transamerica,Curitiba,4,343.16,1372.65,False
T000526,Hotel Local,Manaus,3,295.12,885.35,False
T000527,Rede Nacional,São Paulo,3,390.01,1170.03,False
T000530,Intercity,São Paulo,7,466.03,3262.21,False
T000531,Transamerica,Aracaju,2,318.32,636.63,False
T000532,Rede Nacional,Campinas,2,261.52,523.05,False
T000533,Hotel Local,Brasilia,1,338.28,338.28,False
T000539,Hotel Local,Feira de Santana,2,184.52,369.03,False
T000540,Rede Nacional,São Paulo,3,388.85,1166.54,False
T000541,Accor,Recife,2,334.89,669.78,False
T000542,Intercity,Fortaleza,1,302.56,302.56,False
T000543,Accor,São Paulo,5,502.49,2512.44,True
T000544,Transamerica,São Paulo,1,401.94,401.94,False
T000545,Transamerica,Rio de Janeiro,2,411.55,823.11,False
T000547,Rede Nacional,Belo Horizonte,3,247.87,743.61,False
T000548,Hotel Local,Porto Alegre,1,275.03,275.03,False
T000549,Hotel Local,São Paulo,3,286.18,858.54,False
T000550,Hotel Local,Brasília,3,377.16,1131.48,False
T000551,Transamerica,Belo Horizonte,2,337.75,675.49,False
T000552,Hotel Local,Manaus,2,357.66,715.31,False
T000554,Accor,Rio de Janeiro,3,330.01,990.03,False
T000555,Transamerica,São Paulo,2,447.03,894.07,False
T000557,Intercity,Rio de Janeiro,2,438.39,876.79,True
T000559,Rede Nacional,Recife,3,291.47,874.41,False
T000560,Hotel Local,Brasília,3,373.29,1119.88,False
T000561,Intercity,Brasília,3,457.3,1371.89,True
T000562,Accor,Vitória da Conquista,1,270.28,270.28,False
T000563,Intercity,Fortaleza,2,282.32,564.65,False
T000566,Accor,São Paulo,2,465.75,931.51,False
T000567,Transamerica,Rio de Janeiro,1,383.63,383.63,False
T000568,Accor,Fortaleza,1,328.18,328.18,False
T000569,Transamerica,Vitória da Conquista,1,247.1,247.1,False
T000570,Hotel Local,Rio de Janeiro,2,422.01,844.03,True
T000571,Hotel Local,Recife,2,366.14,732.27,False
T000572,Accor,São Paulo,7,404.83,2833.81,False
T000575,Hotel Local,São Paulo,5,295.89,1479.43,False
T000577,Transamerica,São Paulo,3,453.32,1359.95,False
T000580,Rede Nacional,Brasília,4,346.22,1384.9,False
T000581,Rede Nacional,Brasília,6,263.43,1580.59,False
T000582,Hotel Local,Recife,1,224.95,224.95,False
T000583,Rede Nacional,Curitiba,1,200.95,200.95,False
T000584,Transamerica,Vitória da Conquista,2,224.99,449.97,False
T000585,Intercity,Manaus,3,357.36,1072.07,False
T000586,Hotel Local,Porto Alegre,2,384.84,769.68,True
T000587,Intercity,Brasília,1,389.66,389.66,True
T000589,Accor,São Paulo,1,557.46,557.46,False
T000590,Accor,Campinas,2,333.81,667.62,False
T000591,Accor,Ilhéus,3,219.91,659.72,False
T000593,Intercity,Feira de Santana,3,187.6,562.8,False
