despesa_id,viagem_id,categoria,valor,data_despesa,reembolsavel
E0000077,T000025,Ajuste de reembolso,20.41,2025-02-23,False
E0000078,T000026,Alimentação,145.69,2025-03-02,True
E0000079,T000026,Transporte terrestre,41.5,2025-03-02,True
E0000080,T000026,Taxa,200.17,2025-03-02,True
E0000081,T000026,Ajuste de reembolso,22.88,2025-03-04,False
E0000082,T000027,Alimentação,864.48,2025-03-21,True
E0000083,T000027,Transporte terrestre,324.23,2025-03-21,True
E0000084,T000027,Ajuste de reembolso,38.94,2025-04-04,False
E0000085,T000028,Alimentação,107.65,2024-01-12,True
E0000086,T000028,Transporte terrestre,84.27,2024-01-12,True
E0000087,T000028,Ajuste de reembolso,24.7,2024-01-26,False
E0000088,T000029,Alimentação,416.42,2024-07-29,True
E0000089,T000029,Transporte terrestre,222.43,2024-07-29,True
E0000090,T000029,Ajuste de reembolso,-7.86,2024-08-06,False
E0000091,T000030,Alimentação,181.87,2025-03-18,True
E0000092,T000030,Transporte terrestre,300.42,2025-03-18,True
E0000093,T000030,Ajuste de reembolso,-6.31,2025-03-29,False
E0000094,T000031,Alimentação,172.87,2025-08-07,True
E0000095,T000031,Transporte terrestre,98.91,2025-08-07,True
E0000096,T000031,Ajuste de reembolso,20.39,2025-08-24,False
E0000097,T000032,Alimentação,405.63,2025-04-06,True
E0000098,T000032,Transporte terrestre,195.38,2025-04-06,True
E0000099,T000032,Ajuste de reembolso,-1.38,2025-04-14,False
E0000100,T000033,Alimentação,395.97,2025-04-23,True
E0000101,T000033,Transporte terrestre,424.2,2025-04-23,True
E0000102,T000033,Ajuste de reembolso,22.32,2025-05-03,False
E0000103,T000034,Alimentação,218.41,2025-11-09,True
E0000104,T000034,Transporte terrestre,172.01,2025-11-09,True
E0000105,T000034,Taxa,203.78,2025-11-09,True
E0000106,T000034,Ajuste de reembolso,38.08,2025-11-19,False
E0000107,T000035,Alimentação,211.65,2025-07-15,True
E0000108,T000035,Transporte terrestre,142.18,2025-07-15,True
E0000109,T000035,Ajuste de reembolso,-21.02,2025-07-25,False
E0000110,T000036,Alimentação,198.17,2025-11-26,True
E0000111,T000036,Transporte terrestre,209.58,2025-11-26,True
E0000112,T000036,Ajuste de reembolso,10.51,2025-12-05,False
E0000113,T000037,Alimentação,450.0,2024-05-13,True
E0000114,T000037,Transporte terrestre,214.5,2024-05-13,True
E0000115,T000037,Ajuste de reembolso,4.17,2024-05-28,False
E0000116,T000039,Alimentação,260.55,2025-04-27,True
E0000117,T000039,Transporte terrestre,196.98,2025-04-27,True
E0000118,T000039,Ajuste de reembolso,43.0,2025-05-08,False
E0000119,T000040,Alimentação,122.36,2024-02-05,True
E0000120,T000040,Transporte terrestre,129.36,2024-02-05,True
E0000121,T000040,Ajuste de reembolso,8.84,2024-02-11,False
E0000122,T000041,Alimentação,764.4,2025-04-04,True
E0000123,T000041,Transporte terrestre,602.56,2025-04-04,True
E0000124,T000041,Ajuste de reembolso,-20.67,2025-04-20,False
E0000125,T000042,Alimentação,326.3,2025-11-06,True
E0000126,T000042,Transporte terrestre,421.28,2025-11-06,True
E0000127,T000042,Ajuste de reembolso,-8.01,2025-11-20,False
E0000128,T000043,Alimentação,70.64,2025-10-06,True
E0000129,T000043,Transporte terrestre,42.53,2025-10-06,True
E0000130,T000043,Ajuste de reembolso,-0.06,2025-10-10,False
E0000131,T000044,Alimentação,313.13,2025-05-09,True
E0000132,T000044,Transporte terrestre,168.79,2025-05-09,True
E0000133,T000044,Ajuste de reembolso,35.64,2025-05-22,False
E0000134,T000045,Alimentação,324.75,2025-05-20,True
E0000135,T000045,Transporte terrestre,306.43,2025-05-20,True
E0000136,T000045,Ajuste de reembolso,-7.38,2025-05-31,False
E0000137,T000046,Alimentação,201.54,2024-04-17,True
E0000138,T000046,Transporte terrestre,136.73,2024-04-17,True
E0000139,T000046,Ajuste de reembolso,43.92,2024-04-28,False
E0000140,T000047,Alimentação,160.67,2024-09-02,True
E0000141,T000047,Transporte terrestre,84.82,2024-09-02,True
E0000142,T000047,Ajuste de reembolso,40.63,2024-09-13,False
E0000143,T000048,Alimentação,146.97,2024-11-17,True
E0000144,T000048,Transporte terrestre,142.5,2024-11-17,True
E0000145,T000048,Ajuste de reembolso,5.95,2024-11-28,False
E0000146,T000049,Alimentação,629.05,2025-05-30,True
E0000147,T000049,Transporte terrestre,312.65,2025-05-30,True
E0000148,T000049,Ajuste de reembolso,9.76,2025-06-06,False
E0000149,T000050,Alimentação,382.73,2025-11-23,True
E0000150,T000050,Transporte terrestre,269.48,2025-11-23,True
E0000151,T000050,Ajuste de reembolso,-21.59,2025-12-07,False
E0000152,T000051,Alimentação,273.42,2025-06-02,True
E0000153,T000051,Transporte terrestre,370.19,2025-06-02,True
E0000154,T000051,Ajuste de reembolso,39.81,2025-06-11,False
E0000155,T000052,Alimentação,802.64,2025-01-04,True
E0000156,T000052,Transporte terrestre,399.12,2025-01-04,True
E0000157,T000052,Ajuste de reembolso,25.57,2025-01-15,False
E0000158,T000053,Alimentação,279.17,2024-12-14,True
E0000159,T000053,Transporte terrestre,148.15,2024-12-14,True
E0000160,T000053,Ajuste de reembolso,20.92,2024-12-29,False
E0000161,T000054,Alimentação,300.16,2025-03-27,True
E0000162,T000054,Transporte terrestre,122.02,2025-03-27,True
E0000163,T000054,Ajuste de reembolso,-20.67,2025-04-05,False
E0000164,T000055,Alimentação,367.15,2025-02-02,True
E0000165,T000055,Transporte terrestre,139.44,2025-02-02,True
E0000166,T000055,Ajuste de reembolso,-20.99,2025-02-11,False
E0000167,T000056,Alimentação,318.52,2025-05-17,True
E0000168,T000056,Transporte terrestre,229.29,2025-05-17,True
E0000169,T000056,Ajuste de reembolso,-0.64,2025-06-03,False
E0000170,T000057,Alimentação,142.98,2024-02-06,True
E0000171,T000057,Transporte terrestre,81.07,2024-02-06,True
E0000172,T000057,Ajuste de reembolso,28.09,2024-02-21,False
E0000173,T000058,Alimentação,501.33,2025-09-05,True
E0000174,T000058,Transporte terrestre,240.71,2025-09-05,True
E0000175,T000058,Ajuste de reembolso,43.25,2025-09-13,False
E0000176,T000059,Alimentação,232.49,2024-11-11,True
E0000177,T000059,Transporte terrestre,198.13,2024-11-11,True
E0000178,T000059,Ajuste de reembolso,-6.68,2024-11-17,False
E0000179,T000060,Alimentação,67.51,2025-12-19,True
E0000180,T000060,Transporte terrestre,83.58,2025-12-19,True
E0000181,T000060,Ajuste de reembolso,28.06,2026-01-03,False
E0000182,T000061,Alimentação,335.19,2025-11-05,True
E0000183,T000061,Transporte terrestre,100.55,2025-11-05,True
E0000184,T000061,Estacionamento,85.62,2025-11-05,True
E0000185,T000061,Ajuste de reembolso,-23.59,2025-11-16,False
E0000186,T000062,Alimentação,499.66,2025-11-07,True
E0000187,T000062,Transporte terrestre,200.74,2025-11-07,True
E0000188,T000062,Ajuste de reembolso,18.71,2025-11-14,False
E0000189,T000063,Alimentação,144.44,2024-11-30,True
E0000190,T000063,Transporte terrestre,165.73,2024-11-30,True
E0000191,T000063,Ajuste de reembolso,2.37,2024-12-15,False
E0000192,T000064,Alimentação,250.06,2024-11-08,True
E0000193,T000064,Transporte terrestre,165.25,2024-11-08,True
E0000194,T000064,Ajuste de reembolso,4.3,2024-11-16,False
E0000195,T000065,Alimentação,215.87,2024-11-26,True
E0000196,T000065,Transporte terrestre,135.98,2024-11-26,True
E0000197,T000065,Ajuste de reembolso,1.21,2024-12-03,False
E0000198,T000066,Alimentação,303.51,2025-02-13,True
E0000199,T000066,Transporte terrestre,263.34,2025-02-13,True
E0000200,T000066,Ajuste de reembolso,14.2,2025-02-21,False
E0000201,T000067,Alimentação,264.63,2025-10-22,True
E0000202,T000067,Transporte terrestre,318.1,2025-10-22,True
E0000203,T000067,Ajuste de reembolso,-20.17,2025-10-29,False
E0000204,T000068,Alimentação,535.76,2024-03-29,True
E0000205,T000068,Transporte terrestre,402.74,2024-03-29,True
E0000206,T000068,Ajuste de reembolso,5.87,2024-04-10,False
E0000207,T000069,Alimentação,99.13,2024-03-05,True
E0000208,T000069,Transporte terrestre,134.64,2024-03-05,True
E0000209,T000069,Pedágio,184.99,2024-03-05,True
E0000210,T000069,Ajuste de reembolso,40.08,2024-03-18,False
E0000211,T000070,Alimentação,379.78,2024-07-06,True
E0000212,T000070,Transporte terrestre,181.37,2024-07-06,True
E0000213,T000070,Ajuste de reembolso,34.28,2024-07-19,False
E0000214,T000071,Alimentação,206.25,2025-07-09,True
E0000215,T000071,Transporte terrestre,108.58,2025-07-09,True
E0000216,T000071,Ajuste de reembolso,24.26,2025-07-17,False
E0000217,T000072,Alimentação,335.35,2025-08-06,True
E0000218,T000072,Transporte terrestre,448.09,2025-08-06,True
E0000219,T000072,Pedágio,78.64,2025-08-06,True
E0000220,T000072,Ajuste de reembolso,28.54,2025-08-24,False
E0000221,T000073,Alimentação,438.6,2024-08-29,True
E0000222,T000073,Transporte terrestre,291.0,2024-08-29,True
E0000223,T000073,Ajuste de reembolso,-6.25,2024-09-08,False
E0000224,T000074,Alimentação,407.76,2024-12-14,True
E0000225,T000074,Transporte terrestre,470.23,2024-12-14,True
E0000226,T000074,Ajuste de reembolso,12.03,2024-12-24,False
E0000227,T000075,Alimentação,369.04,2024-09-08,True
E0000228,T000075,Transporte terrestre,197.85,2024-09-08,True
E0000229,T000075,Pedágio,134.02,2024-09-08,True
E0000230,T000075,Ajuste de reembolso,42.34,2024-09-27,False
E0000231,T000076,Alimentação,138.17,2025-08-06,True
E0000232,T000076,Transporte terrestre,189.47,2025-08-06,True
E0000233,T000076,Ajuste de reembolso,-5.41,2025-08-17,False
E0000234,T000077,Alimentação,359.34,2024-05-14,True
E0000235,T000077,Transporte terrestre,217.99,2024-05-14,True
E0000236,T000077,Ajuste de reembolso,-12.28,2024-06-02,False
E0000237,T000079,Alimentação,644.84,2024-12-06,True
E0000238,T000079,Transporte terrestre,477.47,2024-12-06,True
E0000239,T000079,Ajuste de reembolso,4.6,2024-12-22,False
E0000240,T000080,Alimentação,202.4,2025-12-30,True
E0000241,T000080,Transporte terrestre,96.78,2025-12-30,True
E0000242,T000080,Ajuste de reembolso,-19.1,2026-01-11,False
E0000243,T000081,Alimentação,86.71,2025-08-20,True
E0000244,T000081,Transporte terrestre,58.42,2025-08-20,True
E0000245,T000081,Ajuste de reembolso,32.38,2025-08-27,False
E0000246,T000082,Alimentação,204.6,2025-08-05,True
E0000247,T000082,Transporte terrestre,113.79,2025-08-05,True
E0000248,T000082,Ajuste de reembolso,-23.72,2025-08-15,False
E0000249,T000083,Alimentação,285.99,2024-10-22,True
E0000250,T000083,Transporte terrestre,118.26,2024-10-22,True
E0000251,T000083,Ajuste de reembolso,27.13,2024-11-06,False
E0000252,T000084,Alimentação,329.21,2024-04-25,True
E0000253,T000084,Transporte terrestre,139.02,2024-04-25,True
E0000254,T000084,Ajuste de reembolso,-10.93,2024-05-04,False
E0000255,T000085,Alimentação,163.04,2024-09-21,True
E0000256,T000085,Transporte terrestre,92.44,2024-09-21,True
E0000257,T000085,Ajuste de reembolso,-24.02,2024-10-02,False
E0000258,T000087,Alimentação,192.92,2024-02-08,True
E0000259,T000087,Transporte terrestre,240.61,2024-02-08,True
E0000260,T000087,Ajuste de reembolso,42.85,2024-02-18,False
E0000261,T000088,Alimentação,431.25,2025-05-03,True
E0000262,T000088,Transporte terrestre,261.52,2025-05-03,True
E0000263,T000088,Ajuste de reembolso,11.74,2025-05-14,False
E0000264,T000090,Alimentação,140.39,2025-01-15,True
E0000265,T000090,Transporte terrestre,118.85,2025-01-15,True
E0000266,T000090,Ajuste de reembolso,20.78,2025-01-20,False
E0000267,T000091,Alimentação,390.29,2025-05-08,True
E0000268,T000091,Transporte terrestre,287.44,2025-05-08,True
E0000269,T000091,Ajuste de reembolso,-23.29,2025-05-16,False
E0000270,T000092,Alimentação,305.18,2024-07-26,True
E0000271,T000092,Transporte terrestre,127.23,2024-07-26,True
E0000272,T000092,Ajuste de reembolso,34.49,2024-08-04,False
E0000273,T000093,Alimentação,321.82,2025-01-06,True
E0000274,T000093,Transporte terrestre,188.27,2025-01-06,True
E0000275,T000093,Ajuste de reembolso,35.0,2025-01-09,False
E0000276,T000094,Alimentação,184.48,2025-09-24,True
E0000277,T000094,Transporte terrestre,112.02,2025-09-24,True
E0000278,T000094,Ajuste de reembolso,20.4,2025-10-04,False
E0000279,T000095,Alimentação,72.97,2024-05-14,True
E0000280,T000095,Transporte terrestre,69.96,2024-05-14,True
E0000281,T000095,Ajuste de reembolso,15.2,2024-05-19,False
E0000282,T000096,Alimentação,464.47,2024-10-04,True
E0000283,T000096,Transporte terrestre,265.33,2024-10-04,True
E0000284,T000096,Ajuste de reembolso,6.72,2024-10-18,False
E0000285,T000097,Alimentação,294.26,2024-07-01,True
E0000286,T000097,Transporte terrestre,158.04,2024-07-01,True
E0000287,T000097,Ajuste de reembolso,17.83,2024-07-13,False
E0000288,T000098,Alimentação,367.58,2024-09-12,True
E0000289,T000098,Transporte terrestre,370.91,2024-09-12,True
E0000290,T000098,Pedágio,67.15,2024-09-12,True
E0000291,T000098,Ajuste de reembolso,-10.34,2024-09-22,False
E0000292,T000099,Alimentação,116.8,2024-10-10,True
E0000293,T000099,Transporte terrestre,84.18,2024-10-10,True
E0000294,T000099,Ajuste de reembolso,5.69,2024-10-18,False
E0000295,T000101,Alimentação,108.31,2025-09-27,True
E0000296,T000101,Transporte terrestre,109.47,2025-09-27,True
E0000297,T000101,Ajuste de reembolso,15.53,2025-10-12,False
E0000298,T000102,Alimentação,271.44,2025-11-11,True
E0000299,T000102,Transporte terrestre,153.39,2025-11-11,True
E0000300,T000102,Ajuste de reembolso,-1.75,2025-12-01,False
E0000301,T000103,Alimentação,229.56,2024-04-09,True
E0000302,T000103,Transporte terrestre,122.23,2024-04-09,True
E0000303,T000103,Ajuste de reembolso,37.04,2024-04-20,False
E0000304,T000104,Alimentação,132.38,2024-04-04,True
E0000305,T000104,Transporte terrestre,46.19,2024-04-04,True
E0000306,T000104,Ajuste de reembolso,-1.18,2024-04-21,False
E0000307,T000105,Alimentação,248.28,2025-05-27,True
E0000308,T000105,Transporte terrestre,262.39,2025-05-27,True
E0000309,T000105,Ajuste de reembolso,22.77,2025-06-13,False
E0000310,T000106,Alimentação,160.52,2024-10-08,True
E0000311,T000106,Transporte terrestre,124.07,2024-10-08,True
E0000312,T000106,Ajuste de reembolso,19.17,2024-10-19,False
E0000313,T000107,Alimentação,41.54,2025-04-15,True
E0000314,T000107,Transporte terrestre,48.77,2025-04-15,True
E0000315,T000107,Ajuste de reembolso,-7.99,2025-04-20,False
E0000316,T000108,Alimentação,100.62,2024-05-03,True
E0000317,T000108,Transporte terrestre,70.0,2024-05-03,True
E0000318,T000108,Ajuste de reembolso,38.75,2024-05-13,False
E0000319,T000109,Alimentação,191.91,2024-08-18,True
E0000320,T000109,Transporte terrestre,290.43,2024-08-18,True
E0000321,T000109,Taxa,45.75,2024-08-18,True
E0000322,T000109,Ajuste de reembolso,20.55,2024-08-26,False
E0000323,T000110,Alimentação,122.92,2025-01-31,True
E0000324,T000110,Transporte terrestre,80.87,2025-01-31,True
E0000325,T000110,Ajuste de reembolso,-23.21,2025-02-04,False
E0000326,T000111,Alimentação,429.34,2025-01-24,True
E0000327,T000111,Transporte terrestre,496.04,2025-01-24,True
E0000328,T000111,Ajuste de reembolso,13.47,2025-02-04,False
E0000329,T000112,Alimentação,191.3,2024-05-05,True
E0000330,T000112,Transporte terrestre,273.5,2024-05-05,True
E0000331,T000112,Ajuste de reembolso,-21.39,2024-05-18,False
E0000332,T000113,Alimentação,134.87,2024-10-26,True
E0000333,T000113,Transporte terrestre,42.0,2024-10-26,True
E0000334,T000113,Ajuste de reembolso,6.54,2024-11-11,False
E0000335,T000114,Alimentação,80.98,2025-09-07,True
E0000336,T000114,Transporte terrestre,42.63,2025-09-07,True
E0000337,T000114,Ajuste de reembolso,39.17,2025-09-11,False
E0000338,T000115,Alimentação,103.33,2024-06-12,True
E0000339,T000115,Transporte terrestre,102.93,2024-06-12,True
E0000340,T000115,Ajuste de reembolso,-18.84,2024-06-23,False
E0000341,T000116,Alimentação,274.99,2024-01-04,True
E0000342,T000116,Transporte terrestre,400.74,2024-01-04,True
E0000343,T000116,Outros,77.73,2024-01-04,True
E0000344,T000116,Ajuste de reembolso,-24.7,2024-01-15,False
E0000345,T000117,Alimentação,199.36,2024-10-07,True
E0000346,T000117,Transporte terrestre,132.22,2024-10-07,True
E0000347,T000117,Ajuste de reembolso,-12.95,2024-10-19,False
E0000348,T000118,Alimentação,428.93,2024-09-26,True
E0000349,T000118,Transporte terrestre,406.15,2024-09-26,True
E0000350,T000118,Pedágio,36.09,2024-09-26,True
E0000351,T000118,Ajuste de reembolso,31.02,2024-10-11,False
E0000352,T000119,Alimentação,368.23,2025-06-08,True
E0000353,T000119,Transporte terrestre,129.9,2025-06-08,True
E0000354,T000119,Ajuste de reembolso,27.62,2025-06-13,False
E0000355,T000120,Alimentação,538.22,2024-11-01,True
E0000356,T000120,Transporte terrestre,264.85,2024-11-01,True
E0000357,T000120,Ajuste de reembolso,-12.55,2024-11-14,False
E0000358,T000121,Alimentação,287.51,2025-12-17,True
E0000359,T000121,Transporte terrestre,128.89,2025-12-17,True
E0000360,T000121,Ajuste de reembolso,25.82,2025-12-19,False
E0000361,T000122,Alimentação,185.64,2025-12-30,True
E0000362,T000122,Transporte terrestre,138.13,2025-12-30,True
E0000363,T000122,Pedágio,182.56,2025-12-30,True
E0000364,T000122,Ajuste de reembolso,5.64,2026-01-08,False
E0000365,T000123,Alimentação,241.42,2024-07-03,True
E0000366,T000123,Transporte terrestre,130.25,2024-07-03,True
E0000367,T000123,Ajuste de reembolso,-10.74,2024-07-17,False
E0000368,T000124,Alimentação,369.28,2025-04-28,True
E0000369,T000124,Transporte terrestre,222.46,2025-04-28,True
E0000370,T000124,Estacionamento,181.35,2025-04-28,True
E0000371,T000124,Ajuste de reembolso,-7.11,2025-05-06,False
E0000372,T000125,Alimentação,48.46,2024-06-12,True
E0000373,T000125,Transporte terrestre,54.83,2024-06-12,True
E0000374,T000125,Ajuste de reembolso,23.15,2024-06-24,False
E0000375,T000126,Alimentação,314.58,2024-10-20,True
E0000376,T000126,Transporte terrestre,166.99,2024-10-20,True
E0000377,T000126,Ajuste de reembolso,40.27,2024-10-28,False
E0000378,T000127,Alimentação,760.37,2025-11-02,True
E0000379,T000127,Transporte terrestre,370.07,2025-11-02,True
E0000380,T000127,Ajuste de reembolso,-24.59,2025-11-12,False
E0000381,T000128,Alimentação,688.09,2025-11-05,True
E0000382,T000128,Transporte terrestre,330.79,2025-11-05,True
E0000383,T000128,Ajuste de reembolso,15.12,2025-11-17,False
E0000384,T000129,Alimentação,173.44,2024-09-15,True
E0000385,T000129,Transporte terrestre,74.7,2024-09-15,True
E0000386,T000129,Taxa,97.45,2024-09-15,True
E0000387,T000129,Ajuste de reembolso,10.48,2024-09-21,False
E0000388,T000130,Alimentação,229.35,2024-09-23,True
E0000389,T000130,Transporte terrestre,214.36,2024-09-23,True
E0000390,T000130,Ajuste de reembolso,-0.98,2024-10-10,False
E0000391,T000131,Alimentação,235.31,2025-09-09,True
E0000392,T000131,Transporte terrestre,230.43,2025-09-09,True
E0000393,T000131,Pedágio,197.21,2025-09-09,True
E0000394,T000131,Ajuste de reembolso,-1.7,2025-09-21,False
E0000395,T000132,Alimentação,83.04,2024-09-24,True
E0000396,T000132,Transporte terrestre,52.01,2024-09-24,True
E0000397,T000132,Outros,275.65,2024-09-24,True
E0000398,T000132,Ajuste de reembolso,34.55,2024-09-29,False
E0000399,T000133,Alimentação,83.0,2024-08-30,True
E0000400,T000133,Transporte terrestre,54.9,2024-08-30,True
E0000401,T000133,Ajuste de reembolso,12.22,2024-09-13,False
E0000402,T000134,Alimentação,399.06,2025-02-14,True
E0000403,T000134,Transporte terrestre,167.6,2025-02-14,True
E0000404,T000134,Ajuste de reembolso,18.02,2025-02-22,False
E0000405,T000135,Alimentação,212.31,2025-10-24,True
E0000406,T000135,Transporte terrestre,222.37,2025-10-24,True
E0000407,T000135,Ajuste de reembolso,6.14,2025-11-03,False
E0000408,T000136,Alimentação,869.95,2024-05-31,True
E0000409,T000136,Transporte terrestre,762.86,2024-05-31,True
E0000410,T000136,Ajuste de reembolso,15.46,2024-06-17,False
E0000411,T000137,Alimentação,216.76,2024-09-29,True
E0000412,T000137,Transporte terrestre,136.02,2024-09-29,True
E0000413,T000137,Ajuste de reembolso,-21.24,2024-10-03,False
E0000414,T000138,Alimentação,194.83,2025-07-13,True
E0000415,T000138,Transporte terrestre,289.93,2025-07-13,True
E0000416,T000138,Taxa,51.8,2025-07-13,True
E0000417,T000138,Ajuste de reembolso,36.71,2025-07-18,False
E0000418,T000139,Alimentação,422.32,2024-08-12,True
E0000419,T000139,Transporte terrestre,173.93,2024-08-12,True
E0000420,T000139,Ajuste de reembolso,42.81,2024-08-19,False
E0000421,T000140,Alimentação,504.91,2025-07-14,True
E0000422,T000140,Transporte terrestre,214.96,2025-07-14,True
E0000423,T000140,Ajuste de reembolso,-22.37,2025-07-31,False
E0000424,T000141,Alimentação,484.02,2024-03-16,True
E0000425,T000141,Transporte terrestre,355.95,2024-03-16,True
E0000426,T000141,Ajuste de reembolso,3.98,2024-03-26,False
E0000427,T000142,Alimentação,294.95,2025-01-08,True
E0000428,T000142,Transporte terrestre,234.96,2025-01-08,True
E0000429,T000142,Ajuste de reembolso,23.07,2025-01-21,False
E0000430,T000143,Alimentação,334.21,2025-05-11,True
E0000431,T000143,Transporte terrestre,169.52,2025-05-11,True
E0000432,T000143,Ajuste de reembolso,-9.64,2025-05-21,False
E0000433,T000144,Alimentação,185.77,2025-11-13,True
E0000434,T000144,Transporte terrestre,90.38,2025-11-13,True
E0000435,T000144,Pedágio,75.58,2025-11-13,True
E0000436,T000144,Ajuste de reembolso,17.52,2025-11-15,False
E0000437,T000145,Alimentação,411.39,2024-08-21,True
E0000438,T000145,Transporte terrestre,399.98,2024-08-21,True
E0000439,T000145,Estacionamento,68.9,2024-08-21,True
E0000440,T000145,Ajuste de reembolso,7.54,2024-08-29,False
E0000441,T000146,Alimentação,201.39,2024-08-08,True
E0000442,T000146,Transporte terrestre,204.87,2024-08-08,True
E0000443,T000146,Ajuste de reembolso,-21.78,2024-08-17,False
E0000444,T000147,Alimentação,402.98,2024-07-05,True
E0000445,T000147,Transporte terrestre,153.31,2024-07-05,True
E0000446,T000147,Ajuste de reembolso,-21.81,2024-07-16,False
E0000447,T000148,Alimentação,99.91,2024-03-07,True
E0000448,T000148,Transporte terrestre,97.09,2024-03-07,True
E0000449,T000148,Ajuste de reembolso,-13.78,2024-03-13,False
E0000450,T000149,Alimentação,576.69,2025-09-01,True
E0000451,T000149,Transporte terrestre,273.09,2025-09-01,True
E0000452,T000149,Ajuste de reembolso,-20.73,2025-09-13,False
E0000453,T000150,Alimentação,427.54,2025-08-02,True
E0000454,T000150,Transporte terrestre,351.18,2025-08-02,True
