viagem_id,companhia_aerea,rota,tarifa_base,taxa_remarcacao,taxa_cancelamento,valor_aereo_realizado,antecedencia_dias,remarcada,cancelada
T000060,Azul,Salvador - São Paulo,1609.36,0.0,0.0,1609.36,2,False,False
T000061,LATAM,Salvador - Campinas,1731.52,0.0,0.0,1731.52,9,False,False
T000062,Azul,Salvador - Recife,830.67,0.0,0.0,830.67,7,False,False
T000063,GOL,Salvador - Recife,563.13,0.0,0.0,563.13,8,False,False
T000064,GOL,Salvador - Campinas,741.9,0.0,0.0,741.9,22,False,False
T000065,Azul,Salvador - Curitiba,910.52,0.0,0.0,910.52,9,False,False
T000067,LATAM,Salvador - São Paulo,663.62,0.0,0.0,663.62,21,False,False
T000068,LATAM,Salvador - Vitória da Conquista,654.59,0.0,0.0,654.59,8,False,False
T000069,GOL,Salvador - Rio de Janeiro,588.01,0.0,0.0,588.01,36,False,False
T000070,GOL,Salvador - Brasília,1504.96,0.0,0.0,1504.96,0,False,False
T000071,GOL,Salvador - Fortaleza,562.77,0.0,0.0,562.77,8,False,False
T000072,GOL,Salvador - São Paulo,1005.72,195.0,0.0,1200.72,4,True,False
T000073,LATAM,Salvador - São Paulo,1068.45,0.0,0.0,1068.45,39,False,False
T000074,GOL,Salvador - São Paulo,800.1,0.0,0.0,800.1,20,False,False
T000075,LATAM,Salvador - Brasília,1070.98,0.0,0.0,1070.98,4,False,False
T000076,Azul,Salvador - Rio de Janeiro,1046.07,0.0,0.0,1046.07,34,False,False
T000077,LATAM,Salvador - Vitória da Conquista,458.09,0.0,0.0,458.09,11,False,False
T000078,LATAM,Salvador - São Paulo,1361.99,0.0,349.04,349.04,3,False,True
T000079,Azul,Salvador - Campinas,1503.55,0.0,0.0,1503.55,1,False,False
T000080,LATAM,Salvador - Curitiba,1298.75,0.0,0.0,1298.75,15,False,False
T000081,LATAM,Salvador - Recife,1123.27,0.0,0.0,1123.27,0,False,False
T000083,GOL,Salvador - Porto Alegre,1811.99,0.0,0.0,1811.99,2,False,False
T000084,LATAM Airlines,Salvador - Recife,876.87,0.0,0.0,876.87,3,False,False
T000085,GOL,Salvador - Fortaleza,498.52,0.0,0.0,498.52,31,False,False
T000086,Azul,Salvador - São Paulo,2028.22,0.0,409.95,409.95,3,False,True
T000087,Azul,Salvador - São Paulo,1758.3,0.0,0.0,1758.3,1,False,False
T000088,Azul,Salvador - São Paulo,1512.34,0.0,0.0,1512.34,0,False,False
T000089,GOL,Salvador - São Paulo,771.51,0.0,134.32,134.32,10,False,True
T000090,LATAM,Salvador - Belo Horizonte,1202.3,0.0,0.0,1202.3,4,False,False
T000091,GOL,Salvador - São Paulo,1030.79,0.0,0.0,1030.79,1,False,False
T000092,LATAM,Salvador - Rio de Janeiro,600.19,0.0,0.0,600.19,26,False,False
T000093,GOL,Salvador - Curitiba,1371.66,0.0,0.0,1371.66,12,False,False
T000094,GOL,Salvador - Ilhéus,539.88,0.0,0.0,539.88,0,False,False
T000095,GOL,Salvador - Fortaleza,826.24,0.0,0.0,826.24,8,False,False
T000097,GOL,Salvador - Recife,429.58,0.0,0.0,429.58,27,False,False
T000098,LATAM,Salvador - São Paulo,1277.0,234.06,0.0,1511.06,2,True,False
T000099,LATAM,Salvador - São Paulo,1535.99,0.0,0.0,1535.99,0,False,False
T000100,LATAM,Salvador - Curitiba,1095.33,0.0,170.38,170.38,10,False,True
T000101,GOL,Salvador - Ilhéus,629.4,0.0,0.0,629.4,0,False,False
T000102,LATAM,Salvador - Belo Horizonte,827.02,0.0,0.0,827.02,5,False,False
T000103,LATAM,Salvador - São Paulo,2056.0,0.0,0.0,2056.0,3,False,False
T000104,GOL,Salvador - Campinas,1169.48,0.0,0.0,1169.48,0,False,False
T000105,Azul,Salvador - São Paulo,1788.49,0.0,0.0,1788.49,0,False,False
T000106,Azul,Salvador - Brasília,957.86,0.0,0.0,957.86,10,False,False
T000107,GOL,Salvador - Belo Horizonte,795.16,0.0,0.0,795.16,5,False,False
T000108,LATAM,Salvador - São Paulo,1782.48,421.44,0.0,2203.92,2,True,False
T000109,LATAM,Salvador - São Paulo,1618.22,0.0,0.0,1618.22,3,False,False
T000110,Azul,Salvador - Rio de Janeiro,1302.86,0.0,0.0,1302.86,3,False,False
T000111,Azul,Salvador - São Paulo,1765.35,0.0,0.0,1765.35,3,False,False
T000112,GOL,Salvador - São Paulo,1073.36,0.0,0.0,1073.36,16,False,False
T000113,GOL,Salvador - Curitiba,1690.65,0.0,0.0,1690.65,8,False,False
T000114,GOL,Salvador - Brasília,893.19,0.0,0.0,893.19,8,False,False
T000115,Azul,Salvador - São Paulo,1572.49,0.0,0.0,1572.49,6,False,False
T000116,GOL,Salvador - São Paulo,1557.78,0.0,0.0,1557.78,2,False,False
T000117,GOL,Salvador - Porto Alegre,1407.67,0.0,0.0,1407.67,0,False,False
T000118,LATAM,Salvador - São Paulo,1708.83,0.0,0.0,1708.83,2,False,False
T000119,GOL,Salvador - Brasília,756.06,0.0,0.0,756.06,27,False,False
T000120,Azul,Salvador - Recife,449.83,0.0,0.0,449.83,24,False,False
T000121,Azul,Salvador - Rio de Janeiro,1218.65,0.0,0.0,1218.65,1,False,False
T000122,Azul,Salvador - Porto Alegre,2199.01,0.0,0.0,2199.01,2,False,False
T000124,Azul,Salvador - Belo Horizonte,880.45,0.0,0.0,880.45,28,False,False
T000125,GOL,Salvador - Manaus,817.79,0.0,0.0,817.79,28,False,False
T000126,LATAM,Salvador - São Paulo,1263.0,0.0,0.0,1263.0,20,False,False
T000127,LATAM,Salvador - Campinas,1088.26,0.0,0.0,1088.26,19,False,False
T000128,LATAM,Salvador - São Paulo,850.44,209.65,0.0,1060.09,4,True,False
T000129,LATAM,Salvador - São Paulo,2040.44,0.0,0.0,2040.44,10,False,False
T000130,LATAM,Salvador - Manaus,1344.47,0.0,0.0,1344.47,14,False,False
T000131,GOL,Salvador - Rio de Janeiro,841.55,0.0,0.0,841.55,23,False,False
T000133,GOL,Salvador - Brasília,538.55,0.0,0.0,538.55,40,False,False
T000135,GOL,Salvador - Belo Horizonte,1085.59,0.0,0.0,1085.59,6,False,False
T000136,Azul,Salvador - São Paulo,1032.55,0.0,0.0,1032.55,4,False,False
T000138,GOL,Salvador - São Paulo,780.68,0.0,0.0,780.68,28,False,False
T000140,GOL,Salvador - Rio de Janeiro,1078.19,218.5,0.0,1296.7,13,True,False
T000141,Azul,Salvador - Porto Alegre,1750.42,0.0,0.0,1750.42,0,False,False
T000142,LATAM,Salvador - Recife,684.04,0.0,0.0,684.04,22,False,False
T000144,GOL,Salvador - Aracaju,333.53,87.75,0.0,421.29,14,True,False
T000145,GOL,Salvador - São Paulo,1529.78,421.35,0.0,1951.13,0,True,False
T000146,LATAM,Salvador - Belo Horizonte,1140.07,0.0,0.0,1140.07,3,False,False
T000147,Azul,Salvador - São Paulo,1627.77,0.0,0.0,1627.77,3,False,False
T000148,GOL,Salvador - Belo Horizonte,1246.61,0.0,0.0,1246.61,0,False,False
T000149,Azul,Salvador - Fortaleza,671.38,0.0,0.0,671.38,33,False,False
T000151,Azul,Salvador - São Paulo,934.19,0.0,0.0,934.19,15,False,False
T000152,LATAM,Salvador - São Paulo,1594.06,0.0,0.0,1594.06,1,False,False
T000153,LATAM,Salvador - Recife,743.74,0.0,0.0,743.74,5,False,False
T000154,LATAM,Salvador - Aracaju,464.91,0.0,0.0,464.91,3,False,False
T000155,Azul,Salvador - Rio de Janeiro,915.45,0.0,0.0,915.45,11,False,False
T000156,latam,Salvador - Vitória da Conquista,625.63,0.0,0.0,625.63,14,False,False
T000157,Azul,Salvador - Belo Horizonte,807.98,0.0,0.0,807.98,5,False,False
T000158,gol,Salvador - São Paulo,1346.32,0.0,0.0,1346.32,2,False,False
T000159,Azul,Salvador - São Paulo,1295.89,0.0,0.0,1295.89,4,False,False
T000160,LATAM,Salvador - Belo Horizonte,1681.37,460.61,0.0,2141.98,1,True,False
T000161,latam,Salvador - Manaus,2109.74,0.0,0.0,2109.74,12,False,False
T000162,GOL,Salvador - São Paulo,613.71,0.0,0.0,613.71,17,False,False
T000163,Azul,Salvador - Manaus,1238.33,0.0,0.0,1238.33,15,False,False
T000164,GOL,Salvador - Rio de Janeiro,1402.55,0.0,0.0,1402.55,4,False,False
T000165,LATAM,Salvador - São Paulo,1981.32,0.0,0.0,1981.32,3,False,False
T000166,Azul,Salvador - Fortaleza,957.7,0.0,0.0,957.7,1,False,False
T000167,GOL,Salvador - Fortaleza,1003.28,0.0,0.0,1003.28,0,False,False
T000168,GOL,Salvador - Belo Horizonte,954.88,0.0,0.0,954.88,6,False,False
T000169,LATAM,Salvador - Brasília,1307.24,0.0,0.0,1307.24,6,False,False
T000170,LATAM,Salvador - Rio de Janeiro,1187.23,0.0,0.0,1187.23,5,False,False
T000171,LATAM,Salvador - Rio de Janeiro,811.41,0.0,0.0,811.41,27,False,False
T000172,GOL,Salvador - Fortaleza,813.28,0.0,0.0,813.28,14,False,False
T000173,LATAM,Salvador - Rio de Janeiro,1119.23,0.0,0.0,1119.23,3,False,False
T000174,Azul,Salvador - Brasília,914.43,0.0,0.0,914.43,15,False,False
T000175,GOL,Salvador - Rio de Janeiro,991.56,0.0,0.0,991.56,0,False,False
T000176,GOL,Salvador - Belo Horizonte,628.36,0.0,0.0,628.36,31,False,False
T000177,LATAM,Salvador - Recife,399.41,0.0,0.0,399.41,22,False,False
T000178,gol,Salvador - Belo Horizonte,1007.91,0.0,0.0,1007.91,0,False,False
T000179,GOL,Salvador - Recife,858.08,149.47,0.0,1007.55,20,True,False
T000181,LATAM,Salvador - Brasília,1563.51,0.0,0.0,1563.51,1,False,False
T000182,Azul,Salvador - Rio de Janeiro,911.29,0.0,0.0,911.29,9,False,False
T000183,LATAM,Salvador - Rio de Janeiro,982.33,0.0,0.0,982.33,5,False,False
T000184,GOL,Salvador - Brasília,763.65,0.0,0.0,763.65,12,False,False
T000185,AZUL,Salvador - Campinas,1844.83,0.0,0.0,1844.83,0,False,False
T000186,Azul,Salvador - Belo Horizonte,955.92,0.0,0.0,955.92,20,False,False
T000187,GOL,Salvador - Belo Horizonte,738.29,0.0,0.0,738.29,18,False,False
T000188,LATAM,Salvador - Recife,866.56,0.0,0.0,866.56,6,False,False
T000189,GOL,Salvador - Recife,928.73,0.0,0.0,928.73,3,False,False
T000190,Azul,Salvador - Brasília,1452.34,0.0,171.49,171.49,5,False,True
T000191,LATAM,Salvador - Fortaleza,762.1,0.0,0.0,762.1,3,False,False
T000192,GOL,Salvador - Recife,411.69,107.68,0.0,519.37,20,True,False
T000193,Azul,Salvador - Campinas,1663.81,0.0,0.0,1663.81,10,False,False
T000194,Azul,Salvador - São Paulo,880.87,0.0,0.0,880.87,16,False,False
T000196,LATAM,Salvador - Porto Alegre,787.73,0.0,0.0,787.73,21,False,False
T000197,GOL,Salvador - São Paulo,953.93,0.0,0.0,953.93,4,False,False
T000198,LATAM,Salvador - São Paulo,1404.18,0.0,0.0,1404.18,2,False,False
T000199,GOL,Salvador - Brasília,1903.83,0.0,0.0,1903.83,2,False,False
T000200,LATAM,Salvador - Campinas,1044.03,0.0,0.0,1044.03,20,False,False
T000201,Azul,Salvador - São Paulo,1657.38,0.0,0.0,1657.38,2,False,False
T000202,LATAM,Salvador - Aracaju,421.27,0.0,0.0,421.27,9,False,False
T000203,Azul,Salvador - Rio de Janeiro,1181.27,0.0,0.0,1181.27,0,False,False
T000204,GOL,Salvador - São Paulo,844.36,0.0,0.0,844.36,26,False,False
T000205,LATAM Airlines,Salvador - Porto Alegre,1119.25,0.0,0.0,1119.25,13,False,False
T000206,,Salvador - Brasília,675.72,180.72,0.0,856.44,26,True,False
T000207,GOL,Salvador - São Paulo,1167.04,0.0,0.0,1167.04,0,False,False
T000208,GOL,Salvador - Rio de Janeiro,603.87,0.0,0.0,603.87,19,False,False
T000209,LATAM,Salvador - Recife,796.15,0.0,0.0,796.15,2,False,False
T000210,GOL,Salvador - Fortaleza,424.19,0.0,0.0,424.19,16,False,False
T000211,LATAM,Salvador - São Paulo,1003.38,0.0,0.0,1003.38,5,False,False
T000212,GOL,Salvador - Fortaleza,980.91,0.0,0.0,980.91,0,False,False
T000213,Azul,Salvador - Rio de Janeiro,916.21,0.0,0.0,916.21,13,False,False
T000214,LATAM,Salvador - Vitória da Conquista,938.38,0.0,0.0,938.38,0,False,False
T000215,LATAM,Salvador - Manaus,1537.94,0.0,0.0,1537.94,22,False,False
T000216,Azul,Salvador - São Paulo,1480.22,0.0,0.0,1480.22,3,False,False
T000217,LATAM,Salvador - Fortaleza,643.09,0.0,0.0,643.09,12,False,False
T000218,Azul,Salvador - Rio de Janeiro,706.06,0.0,0.0,706.06,17,False,False
T000219,GOL,Salvador - Recife,993.24,0.0,0.0,993.24,0,False,False
T000220,LATAM,Salvador - Recife,510.38,0.0,0.0,510.38,25,False,False
T000221,gol,Salvador - São Paulo,1510.26,0.0,0.0,1510.26,1,False,False
T000222,Azul,Salvador - Curitiba,1330.72,0.0,0.0,1330.72,7,False,False
T000223,GOL,Salvador - Fortaleza,883.75,0.0,0.0,883.75,2,False,False
T000224,LATAM,Salvador - São Paulo,779.89,0.0,0.0,779.89,30,False,False
T000225,LATAM,Salvador - Brasília,972.9,0.0,0.0,972.9,5,False,False
T000226,LATAM,Salvador - Recife,1035.45,0.0,0.0,1035.45,0,False,False
T000227,GOL,Salvador - São Paulo,1485.26,0.0,0.0,1485.26,1,False,False
T000228,GOL,Salvador - Manaus,2945.68,0.0,0.0,2945.68,2,False,False
T000229,Azul,Salvador - Vitória da Conquista,641.51,0.0,0.0,641.51,6,False,False
T000231,LATAM,Salvador - Recife,512.57,0.0,0.0,512.57,16,False,False
T000232,GOL,Salvador - Ilhéus,493.71,0.0,0.0,493.71,8,False,False
T000233,Azul,Salvador - Fortaleza,993.57,0.0,0.0,993.57,5,False,False
T000234,LATAM,Salvador - Belo Horizonte,1024.39,0.0,0.0,1024.39,7,False,False
T000235,Azul,Salvador - Manaus,1443.05,0.0,0.0,1443.05,10,False,False
T000236,LATAM,Salvador - São Paulo,1429.97,0.0,0.0,1429.97,2,False,False
T000237,Gol Linhas Aéreas,Salvador - Recife,589.85,0.0,0.0,589.85,8,False,False
T000238,LATAM,Salvador - Aracaju,729.0,0.0,0.0,729.0,0,False,False
T000239,LATAM,Salvador - São Paulo,1434.06,0.0,0.0,1434.06,0,False,False
T000240,LATAM,Salvador - Curitiba,1015.13,0.0,0.0,1015.13,15,False,False
T000241,Azul,Salvador - Recife,844.6,0.0,0.0,844.6,0,False,False
T000242,GOL,Salvador - Belo Horizonte,1167.25,0.0,180.98,180.98,0,False,True
T000243,LATAM,Salvador - São Paulo,799.05,0.0,0.0,799.05,16,False,False
T000244,Azul,Salvador - São Paulo,770.02,0.0,0.0,770.02,17,False,False
T000245,LATAM,Salvador - Rio de Janeiro,677.6,0.0,0.0,677.6,18,False,False
T000246,GOL,Salvador - Porto Alegre,1210.05,0.0,0.0,1210.05,23,False,False
T000247,Azul,Salvador - Brasília,2674.96,0.0,0.0,2674.96,1,False,False
T000248,Azul,Salvador - São Paulo,1427.82,0.0,0.0,1427.82,2,False,False
T000249,GOL,Salvador - Brasília,831.38,0.0,0.0,831.38,12,False,False
T000250,LATAM,Salvador - Recife,599.39,0.0,0.0,599.39,6,False,False
T000251,LATAM,Salvador - Fortaleza,730.9,0.0,0.0,730.9,6,False,False
T000252,LATAM,Salvador - Campinas,1534.47,0.0,0.0,1534.47,5,False,False
T000253,GOL,Salvador - Recife,1016.37,0.0,0.0,1016.37,1,False,False
T000254,LATAM,Salvador - São Paulo,1005.72,0.0,0.0,1005.72,6,False,False
T000255,GOL,Salvador - Rio de Janeiro,892.34,0.0,175.5,175.5,9,False,True
T000256,LATAM,Salvador - São Paulo,1247.56,0.0,0.0,1247.56,13,False,False
T000257,Azul,Salvador - Brasília,1100.9,0.0,0.0,1100.9,12,False,False
T000258,LATAM,Salvador - Rio de Janeiro,902.56,0.0,0.0,902.56,16,False,False
T000259,Azul,Salvador - São Paulo,1282.15,0.0,0.0,1282.15,1,False,False
T000260,GOL,Salvador - Porto Alegre,925.36,0.0,0.0,925.36,17,False,False
T000261,GOL,Salvador - São Paulo,1096.87,229.98,0.0,1326.85,5,True,False
T000262,LATAM,Salvador - Fortaleza,607.6,0.0,0.0,607.6,15,False,False
T000263,gol,Salvador - Recife,576.51,0.0,0.0,576.51,13,False,False
T000264,Azul,Salvador - Porto Alegre,2168.5,0.0,0.0,2168.5,2,False,False
T000265,GOL,Salvador - São Paulo,1880.7,0.0,0.0,1880.7,2,False,False
T000266,LATAM,Salvador - Brasília,756.0,0.0,0.0,756.0,25,False,False
T000267,LATAM,Salvador - Brasília,1076.18,0.0,0.0,1076.18,7,False,False
T000268,GOL,Salvador - São Paulo,1270.21,0.0,0.0,1270.21,0,False,False
T000269,Azul,Salvador - Fortaleza,1181.96,0.0,0.0,1181.96,0,False,False
T000270,Azul,Salvador - Belo Horizonte,584.95,0.0,0.0,584.95,23,False,False
T000271,GOL,Salvador - Fortaleza,500.8,0.0,0.0,500.8,31,False,False
T000273,LATAM,Salvador - São Paulo,1884.22,0.0,0.0,1884.22,0,False,False
T000274,LATAM,Salvador - Brasília,974.05,0.0,0.0,974.05,2,False,False
T000275,latam,Salvador - São Paulo,1510.88,0.0,0.0,1510.88,5,False,False
T000276,GOL,Salvador - Fortaleza,457.87,0.0,0.0,457.87,29,False,False
T000277,LATAM,Salvador - São Paulo,1780.54,0.0,0.0,1780.54,1,False,False
T000278,GOL,Salvador - São Paulo,794.11,191.88,0.0,985.99,19,True,False
T000279,LATAM,Salvador - Belo Horizonte,851.17,0.0,229.97,229.97,0,False,True
T000280,Azul,Salvador - São Paulo,1259.83,0.0,0.0,1259.83,6,False,False
T000281,GOL,Salvador - São Paulo,958.5,0.0,0.0,958.5,40,False,False
T000282,Azul Linhas Aéreas,Salvador - Curitiba,998.52,0.0,0.0,998.52,16,False,False
T000283,GOL,Salvador - São Paulo,1438.92,0.0,0.0,1438.92,1,False,False
T000284,LATAM,Salvador - Rio de Janeiro,1001.69,0.0,0.0,1001.69,0,False,False
T000285,GOL,Salvador - Campinas,911.17,0.0,0.0,911.17,5,False,False
T000287,GOL,Salvador - Campinas,956.94,0.0,0.0,956.94,5,False,False
T000289,GOL,Salvador - São Paulo,600.63,0.0,0.0,600.63,14,False,False
T000290,LATAM,Salvador - São Paulo,1294.64,0.0,0.0,1294.64,6,False,False
T000292,GOL,Salvador - São Paulo,877.71,0.0,0.0,877.71,6,False,False
T000293,GOL,Salvador - Aracaju,278.87,0.0,0.0,278.87,27,False,False
T000294,LATAM,Salvador - Recife,404.75,0.0,0.0,404.75,8,False,False
T000296,Azul,Salvador - São Paulo,889.49,0.0,0.0,889.49,10,False,False
T000298,LATAM,Salvador - Manaus,1210.26,0.0,0.0,1210.26,36,False,False
T000299,GOL,Salvador - São Paulo,998.45,163.8,0.0,1162.25,5,True,False
T000300,LATAM,Salvador - Campinas,1019.01,0.0,0.0,1019.01,27,False,False
T000301,Azul,Salvador - São Paulo,1410.66,0.0,0.0,1410.66,4,False,False
T000302,GOL,Salvador - São Paulo,985.09,0.0,0.0,985.09,8,False,False
T000303,LATAM,Salvador - Recife,1023.95,0.0,176.79,176.79,3,False,True
T000304,LATAM,Salvador - Curitiba,1539.39,0.0,0.0,1539.39,3,False,False
T000305,Azul,Salvador - Belo Horizonte,926.94,0.0,0.0,926.94,13,False,False
T000306,GOL,Salvador - Fortaleza,567.96,0.0,0.0,567.96,5,False,False
T000307,GOL,Salvador - Campinas,1005.43,0.0,0.0,1005.43,31,False,False
T000308,GOL,Salvador - Belo Horizonte,919.54,0.0,0.0,919.54,30,False,False
T000309,LATAM,Salvador - Rio de Janeiro,899.43,0.0,0.0,899.43,14,False,False
T000310,LATAM,Salvador - Fortaleza,739.77,0.0,0.0,739.77,0,False,False
T000311,GOL,Salvador - Ilhéus,631.67,0.0,0.0,631.67,4,False,False
T000312,LATAM,Salvador - São Paulo,743.69,0.0,0.0,743.69,15,False,False
T000313,Azul,Salvador - Recife,1016.31,0.0,0.0,1016.31,12,False,False
T000314,LATAM,Salvador - Manaus,2172.74,0.0,0.0,2172.74,1,False,False
T000315,Azul,Salvador - São Paulo,1168.29,0.0,0.0,1168.29,3,False,False
T000316,LATAM,Salvador - Recife,991.89,0.0,0.0,991.89,6,False,False
T000317,LATAM,Salvador - Rio de Janeiro,923.98,0.0,0.0,923.98,4,False,False
T000318,LATAM,Salvador - Fortaleza,695.73,0.0,0.0,695.73,5,False,False
T000319,LATAM,Salvador - Ilhéus,353.47,0.0,0.0,353.47,13,False,False
T000320,LATAM,Salvador - Porto Alegre,1340.23,0.0,0.0,1340.23,11,False,False
T000322,GOL,Salvador - Fortaleza,702.73,0.0,0.0,702.73,31,False,False
T000323,GOL,Salvador - Brasília,912.51,0.0,0.0,912.51,4,False,False
T000324,LATAM,Salvador - Aracaju,430.24,0.0,0.0,430.24,2,False,False
T000326,LATAM,Salvador - Fortaleza,456.02,0.0,0.0,456.02,9,False,False
T000327,LATAM,Salvador - São Paulo,1060.02,0.0,0.0,1060.02,6,False,False
T000328,GOL,Salvador - Brasília,1092.5,0.0,0.0,1092.5,3,False,False
T000330,Azul,Salvador - Rio de Janeiro,852.0,0.0,0.0,852.0,18,False,False
T000331,LATAM,Salvador - São Paulo,713.92,0.0,0.0,713.92,25,False,False
T000332,GOL,Salvador - Rio de Janeiro,673.67,0.0,0.0,673.67,25,False,False
T000333,Azul,Salvador - Ilhéus,535.53,0.0,0.0,535.53,3,False,False
T000334,Azul,Salvador - Rio de Janeiro,741.89,0.0,0.0,741.89,21,False,False
T000335,Azul,Salvador - São Paulo,1246.9,0.0,0.0,1246.9,10,False,False
T000336,GOL,Salvador - São Paulo,707.14,0.0,0.0,707.14,24,False,False
T000337,LATAM,Salvador - Ilhéus,435.54,0.0,0.0,435.54,8,False,False
T000338,GOL,Salvador - Rio de Janeiro,849.1,0.0,0.0,849.1,5,False,False
T000339,LATAM,Salvador - Vitória da Conquista,514.5,0.0,0.0,514.5,20,False,False
T000340,Azul,Salvador - Rio de Janeiro,840.6,0.0,0.0,840.6,13,False,False
T000341,LATAM,Salvador - Recife,534.59,0.0,0.0,534.59,19,False,False
T000342,LATAM,Salvador - Manaus,1241.9,0.0,0.0,1241.9,13,False,False
T000343,GOL,Salvador - São Paulo,1408.45,0.0,0.0,1408.45,2,False,False
T000344,GOL,Salvador - Rio de Janeiro,1198.94,0.0,0.0,1198.94,3,False,False
T000345,gol,Salvador - São Paulo,785.93,0.0,0.0,785.93,26,False,False
T000346,Azul,Salvador - São Paulo,990.38,0.0,0.0,990.38,21,False,False
T000347,Azul,Salvador - Ilhéus,598.21,143.09,0.0,741.3,6,True,False
T000348,LATAM,Salvador - Curitiba,1392.25,0.0,0.0,1392.25,25,False,False
